iter	Passed	Remaining
0	60	90186
1	122	91895
2	188	93914
3	250	93672
4	312	93364
5	376	93821
6	442	94451
7	507	94567
8	571	94620
9	632	94303
10	694	94059
11	760	94344
12	824	94355
13	890	94482
14	952	94281
15	1017	94344
16	1078	94081
17	1140	93935
18	1258	98117
19	1321	97770
20	1386	97628
21	1449	97406
22	1511	97060
23	1577	97008
24	1641	96863
25	1704	96645
26	1768	96461
27	1835	96485
28	1897	96235
29	1960	96079
30	2023	95882
31	2086	95729
32	2151	95627
33	2213	95426
34	2276	95274
35	2341	95213
36	2410	95297
37	2484	95583
38	2550	95559
39	2617	95550
40	2681	95407
41	2744	95286
42	2807	95131
43	2872	95043
44	2934	94886
45	2999	94825
46	3063	94697
47	3126	94574
48	3190	94466
49	3253	94359
50	3324	94465
51	3389	94375
52	3451	94239
53	3516	94167
54	3579	94046
55	3645	94006
56	3708	93885
57	3771	93773
58	3839	93774
59	3902	93652
60	3966	93574
61	4032	93532
62	4096	93431
63	4158	93311
64	4221	93202
65	4285	93112
66	4348	93012
67	4415	92993
68	4481	92952
69	4546	92883
70	4614	92883
71	4680	92821
72	4744	92744
73	4813	92756
74	4876	92660
75	4939	92551
76	5005	92499
77	5069	92429
78	5134	92359
79	5199	92286
80	5265	92236
81	5332	92221
82	5400	92199
83	5468	92187
84	5533	92113
85	5597	92028
86	5662	91971
87	5726	91886
88	5791	91811
89	5851	91679
90	5914	91577
91	5979	91513
92	6043	91432
93	6104	91302
94	6166	91205
95	6229	91104
96	6293	91021
97	6358	90959
98	6420	90865
99	6484	90786
100	6547	90686
101	6611	90621
102	6676	90553
103	6742	90502
104	6807	90445
105	6874	90406
106	6938	90335
107	7002	90254
108	7066	90182
109	7129	90085
110	7191	89994
111	7252	89880
112	7314	89780
113	7377	89699
114	7440	89612
115	7505	89543
116	7567	89457
117	7629	89357
118	7692	89273
119	7756	89198
120	7818	89102
121	7881	89017
122	7945	88949
123	8012	88910
124	8075	88827
125	8141	88777
126	8204	88701
127	8268	88630
128	8331	88545
129	8394	88463
130	8457	88384
131	8520	88302
132	8583	88225
133	8648	88159
134	8709	88063
135	8773	87995
136	8838	87934
137	8900	87844
138	8963	87768
139	9030	87724
140	9094	87653
141	9156	87569
142	9217	87471
143	9280	87395
144	9345	87334
145	9409	87264
146	9472	87184
147	9537	87122
148	9602	87066
149	9665	86988
150	9728	86911
151	9792	86842
152	9855	86769
153	9919	86701
154	9983	86628
155	10046	86552
156	10108	86468
157	10171	86394
158	10235	86324
159	10298	86253
160	10362	86179
161	10425	86103
162	10490	86051
163	10554	85980
164	10619	85917
165	10682	85844
166	10745	85773
167	10807	85691
168	10869	85605
169	10938	85579
170	11002	85511
171	11066	85444
172	11130	85374
173	11198	85338
174	11263	85280
175	11326	85208
176	11396	85182
177	11459	85112
178	11521	85028
179	11582	84938
180	11646	84869
181	11707	84782
182	11770	84707
183	11835	84649
184	11898	84572
185	11961	84499
186	12024	84425
187	12090	84375
188	12153	84300
189	12218	84243
190	12283	84181
191	12347	84115
192	12409	84038
193	12473	83971
194	12537	83902
195	12601	83839
196	12665	83772
197	12730	83709
198	12793	83637
199	12854	83555
200	12916	83476
201	12980	83412
202	13044	83341
203	13107	83268
204	13170	83198
205	13231	83117
206	13299	83071
207	13359	82985
208	13425	82931
209	13488	82860
210	13552	82790
211	13613	82711
212	13681	82664
213	13744	82593
214	13806	82515
215	13869	82446
216	13933	82379
217	13996	82309
218	14058	82232
219	14120	82154
220	14241	82421
221	14304	82347
222	14366	82268
223	14430	82202
224	14494	82133
225	14555	82049
226	14618	81977
227	14681	81909
228	14744	81834
229	14806	81759
230	14867	81676
231	14930	81605
232	14996	81549
233	15061	81484
234	15125	81419
235	15188	81347
236	15253	81285
237	15316	81217
238	15380	81148
239	15446	81094
240	15510	81030
241	15573	80956
242	15635	80879
243	15697	80803
244	15762	80742
245	15827	80679
246	15889	80607
247	15953	80537
248	16016	80470
249	16077	80385
250	16142	80327
251	16209	80276
252	16271	80201
253	16335	80136
