Layer Configs,Learning Rate,Batch Size,RMSE,NRMSE
"(64, 32)",0.001,32,51.91644402973344,0.439969864658758
"(64, 32)",0.001,64,55.99741427660751,0.4745543582763348
"(64, 32)",0.01,32,50.96843398537271,0.43193588123197213
"(64, 32)",0.01,64,39.85470054336172,0.3377516995200146
"(128, 64)",0.001,32,55.737931028786825,0.4723553477015833
"(128, 64)",0.001,64,71.05967351082218,0.6022006229730693
"(128, 64)",0.01,32,79.1884135747029,0.6710882506330754
"(128, 64)",0.01,64,34.18249473100788,0.2896821587373549
"(64, 64, 32)",0.001,32,45.37741652682239,0.38455437734595244
"(64, 64, 32)",0.001,64,55.643681331642554,0.4715566214545979
"(64, 64, 32)",0.01,32,41.71197669185911,0.3534913278971111
"(64, 64, 32)",0.01,64,71.367141044206,0.604806280035644
